Project Reference,Mobility Duration,Participant Age,Sending Country Code,Receiving Country Code
2018-1-FR02-KA347-014334,4,23,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-FR02-KA347-014334,4,27,DE,FR
2018-1-FR02-KA347-014334,4,27,DE,FR
2018-1-FR02-KA347-014334,4,28,DE,FR
2018-1-FR02-KA347-014334,4,28,DE,FR
2018-1-FR02-KA347-014334,4,29,DE,FR
2018-1-FR02-KA347-014334,4,29,DE,FR
2018-1-FR02-KA347-014334,4,29,DE,FR
2018-1-FR02-KA347-014334,4,30,DE,FR
2018-1-FR02-KA347-014334,4,30,DE,FR
2018-1-FR02-KA347-014334,4,31,DE,FR
2018-1-FR02-KA347-014334,4,32,DE,FR
2018-1-FR02-KA347-014334,4,20,DE,FR
2018-1-FR02-KA347-014334,4,20,DE,FR
2018-1-FR02-KA347-014334,4,20,DE,FR
2018-1-FR02-KA347-014334,4,20,DE,FR
2018-1-FR02-KA347-014334,4,21,DE,FR
2018-1-FR02-KA347-014334,4,22,DE,FR
2018-1-FR02-KA347-014334,4,23,DE,FR
2018-1-FR02-KA347-014334,4,23,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,25,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-FR02-KA347-014334,4,28,DE,FR
2018-1-FR02-KA347-014334,4,30,DE,FR
2018-1-FR02-KA347-014334,4,32,DE,FR
2018-1-FR02-KA347-014334,4,33,DE,FR
2018-1-FR02-KA347-014334,4,28,DE,FR
2018-1-FR02-KA347-014334,4,21,DE,FR
2018-1-FR02-KA347-014334,4,24,DE,FR
2018-1-FR02-KA347-014334,4,27,DE,FR
2018-1-FR02-KA347-014334,4,23,DE,FR
2018-1-FR02-KA347-014334,4,26,DE,FR
2018-1-HR01-KA347-047385,2,20,HR,FR
2018-1-HR01-KA347-047385,2,24,HR,FR
2018-1-HR01-KA347-047385,2,27,HR,FR
2018-1-HR01-KA347-047385,2,19,HR,FR
2018-1-HR01-KA347-047385,2,25,HR,FR
2018-1-HR01-KA347-047385,2,24,HR,FR
2018-1-IT03-KA347-013273,3,18,TN,ES
2018-1-IT03-KA347-013273,3,24,IT,ES
2018-1-IT03-KA347-013273,3,26,IT,ES
2018-1-IT03-KA347-013273,3,28,IT,ES
2018-1-IT03-KA347-013273,3,29,IT,ES
2018-1-IT03-KA347-013273,3,26,IT,ES
2018-1-IT03-KA347-013273,3,26,IT,ES
2018-1-IT03-KA347-013273,3,24,TN,ES
2018-1-IT03-KA347-013273,3,19,TN,ES
2018-1-IT03-KA347-013273,3,23,TN,ES
2018-1-IT03-KA347-013273,3,24,TN,ES
2018-1-IT03-KA347-013273,3,26,TN,ES
2018-1-IT03-KA347-013273,3,27,TN,ES
2018-1-IT03-KA347-013273,3,25,IT,ES
2018-1-IT03-KA347-013273,3,22,TN,ES
2018-1-IT03-KA347-013273,3,23,TN,ES
2018-1-PL01-KA347-049903,4,33,CZ,PL
2018-1-PL01-KA347-050229,4,22,ES,PL
2018-1-UK01-KA347-047511,2,18,IE,UK
2018-1-UK01-KA347-047511,2,18,IE,UK
2018-1-UK01-KA347-047511,2,18,IE,UK
2018-1-UK01-KA347-047511,2,22,IE,UK
2018-1-UK01-KA347-047511,2,21,IE,UK
2018-1-UK01-KA347-047511,2,22,IE,UK
2018-1-UK01-KA347-047511,2,19,IE,UK
2018-1-UK01-KA347-047511,2,19,IE,UK
2018-1-UK01-KA347-047511,2,21,IE,UK
2018-1-UK01-KA347-047511,2,19,IE,UK
2018-1-UK01-KA347-047682,1,19,ES,UK
2018-1-UK01-KA347-047682,1,20,ES,UK
2018-1-UK01-KA347-047682,1,22,ES,UK
2018-1-UK01-KA347-047682,1,23,ES,UK
2018-1-UK01-KA347-047682,1,29,ES,UK
2018-1-UK01-KA347-047682,1,20,ES,UK
2018-1-UK01-KA347-047682,1,19,SI,UK
2018-1-UK01-KA347-047682,1,25,SI,UK
2018-1-UK01-KA347-047682,1,21,ES,UK
2018-1-UK01-KA347-047682,1,18,ES,UK
2018-1-UK01-KA347-047682,1,18,SI,UK
2018-1-UK01-KA347-047682,1,23,SI,UK
2018-2-AT02-KA347-002177,3,33,DE,AT
2018-2-AT02-KA347-002177,3,31,HU,AT
2018-2-AT02-KA347-002177,3,18,HU,AT
2018-2-AT02-KA347-002177,3,20,IT,AT
2018-2-AT02-KA347-002177,3,21,MK,AT
2018-2-AT02-KA347-002177,3,25,XK,AT
2018-2-BE05-KA347-002469,2,19,BE,NL
2018-2-BE05-KA347-002469,2,20,BE,NL
2018-2-BE05-KA347-002469,2,18,BE,NL
2018-2-BE05-KA347-002469,2,18,BE,NL
2018-2-BE05-KA347-002469,2,29,BE,NL
2018-2-BE05-KA347-002469,2,24,FR,NL
2018-2-BE05-KA347-002469,2,19,EE,NL
2018-2-BE05-KA347-002469,2,29,EE,NL
2018-2-BE05-KA347-002469,2,19,EE,NL
2018-2-BE05-KA347-002469,2,23,EL,NL
2018-2-BE05-KA347-002469,2,26,EL,NL
2018-2-BE05-KA347-002469,2,31,ES,NL
2018-2-BE05-KA347-002469,2,27,ES,NL
2018-2-BE05-KA347-002469,2,21,ES,NL
2018-2-BE05-KA347-002469,2,28,ES,NL
2018-2-BE05-KA347-002469,2,35,BE,NL
2018-2-BE05-KA347-002469,2,28,BE,NL
